Discogs ID,Title,Artists,Genres,Styles,Year,Tracklist,Notes
60537,Fabric 22,Adam Beyer,Electronic,"Minimal, Minimal Techno, Techno",2005,"This World (Wighnomy Brothers & Robag Wruhme Remix) (3:29)
A Walk In The Park (Wink's Run Through The Park Interpretation) (3:12)
Las Bicicletas Son Para El Verano (1:12)
System (Alkaloid Docking Station Mix) (1:55)
Die Rotbauchunken Vom Tegernsee (6:05)
In Gear (2:24)
Snuff & Noise (Part 2) (4:38)
Persuaded (2:46)
Naxos B (3:58)
Snuff & Noise A (5:10)
Serton (2:31)
Slowburn (5:09)
Demented (Sontec Remix) (1:50)
Progress (Subway Baby Remix) (2:17)
Panic Voice (4:18)
Spice (2:27)
Completed (2:51)
Motions Of Energy (4:32)
Redemption (4:47)
She's The One (Circles In Time Remix) (8:30)",
34959,Fabric 23,Ivan Smagghe,Electronic,"Techno, Electro",2005,"Ride (Der Schmeisser Lovelysplinterremix) (6:16)
Your Place Or Mine (4:52)
Frau (Pandullo Vs Und Mix) (3:17)
Vertigo Vs Cha! (Ada Remix) (5:48)
U Can't Escape (4:56)
Heiden (6:41)
Blood (Acapella) ()
The Geklöppel Continues (3:48)
Snake Tartare (2:50)
No Wow (5:29)
Jefferson & Braeside (5:25)
Tear Up (6:14)
Just F***ing (Roman Flügel's ""23 Positions In A One-Night Stand"" Mix) (5:48)
Carnage, OK! (6:01)
Budapest (Joakim Italo Dub) (5:04)",
37320,Fabric 24,Rob Da Bank,"Electronic, Rock","Acid House, Indie Rock, House, Broken Beat, Techno, Synth-pop, Minimal",2005,"Balkan Hot Step (5:52)
Preacher Man (2:02)
Wanna Get Wet (4:30)
Lovefood (3:04)
Dinamo (5:49)
Leuchtturm (Wighnomy's Polarzipper Remix) (3:35)
The Sky Was Pink (James Holden Remix) (5:22)
Spastik (3:29)
Hounds Of Love (Phones' Wolf At The Door Remix) (4:31)
A Walk In The Dark (3:06)
Single Again (3:36)
Bleach (Illegally Club Mixed) (1:47)
Roger Milla (6:41)
Heizkissen (4:27)
Poney Part 1 (3:53)
Can You Feel It (4:18)
(silence) (0:04)
One More... ()
Your Love (6:45)",
9319,Fabric 25,Carl Craig,Electronic,"House, Techno, Tribal House",2005,"Wait (The Whisper Song) (2:29)
Angel (Caya Dub) (3:50)
Sweat (4:34)
Bar A Thym (5:42)
Love2Love (Phlash Edit) (3:33)
Jubita (Stereotyp Remix) (4:27)
The Journey (Journey Beats) (2:17)
Imbalaye (2:17)
Most Precious Love (DF Future 3000 Instrumental) (5:46)
The Panther (Rubber Re-edit) (4:33)
3rd Movement (4:03)
Good God (5:12)
Alive (4:25)
Limit (4:40)
Energize (4:46)
Crushing (2:12)
Darkness (Max Mix) (4:34)
Blade Dancer (Dixon Edit) (3:45)",
16364,Fabric 26,Global Communication,"Electronic, Hip Hop","House, Broken Beat, Downtempo, Hip Hop",2006,"Intro (0:22)
No Child Of God (Instrumental) (3:22)
Starz (2:34)
Serene Vision (2:54)
I'm Glad.. (3:26)
Arc Light (Version One) (3:28)
Lightly Anxious (2:41)
The Octopus (Intergalactic Starfighter) (3:12)
Now U Know (2:31)
Sunshine F*ck Part 1 (6:12)
Too (4:28)
86 (Verbs) (2:37)
Rumours (3:16)
Aura (3:01)
Flookin' (4:32)
Vision 2 Vision (1:58)
The Way It's Meant To Be (4:04)
Living Inside (2:16)
Robots³ (2:16)
Sweet Music (3:20)
Otaku (4:51)
Margherita (5:51)",
71792,Fabric 27,"Matthew Dear, Audion",Electronic,"Techno, Minimal",2006,"Off First (3:49)
Mosquito Morpher ()
Ketamine Christmas (2:48)
Wortkabular (Luciano Remix) (2:24)
Body Control (2:22)
How Low Can You Go (4:01)
Saks ()
I Was A Robot (Jean F. Cochois' Timewriter Remix) ()
Keep Us Away (3:10)
Tacky Wakeup (1:57)
Come With Me (Jon Gaiser Remix) (2:48)
Deep Throat (2:18)
Waterbomb (2:06)
A Rhino In A Glass Shop (4:11)
Equidistant (4:09)
Fudgebuster Beat ()
Thank You ()
Just A Man (5:45)
Nothing ()
Battlestar (6:35)
Rej (3:00)
Blackclap (3:25)
Chromosul (5:20)
Ciboulette (Luciano Remix) (7:15)
Off Third ()",
60470,Fabric 28,Wiggle (3),Electronic,"House, Tech House",2006,"Brovas Darkness ()
Some Bizarre ()
Martian Keg Party ()
Club Therapy ()
Love Dose ()
Gettin’ Lifted ()
Travelling (John Ciafone Remix) ()
Hydroponic ()
No Need To See ()
Everybody (Nathan Coles Remix) ()
Freakin' ()
Say Something ()
Release ()
Punch Up (Wozsonik Vokz Mix) ()
Change ()
The Cure & The Cause (Dennis Ferrer Remix) ()
Her Boyfriend Was The DJ (Bushy Remix) ()
Dream 17 (Nathan Coles & Dave Coker Love Your Feel Mix) ()",
36319,Fabric 29,Tiefschwarz,Electronic,"House, Electro, Minimal",2006,"Grace (Anxiety) (5:59)
Who's Afraid Of Detroit? (5:43)
Damage (M.A.N.D.Y. Remix) (6:22)
Extruder (Maetrik Remix) (4:27)
Bassic (5:27)
Rotor (5:40)
Rondell (5:06)
A.A.K.N.Y. (2:49)
Hey (6:19)
Amazon (4:17)
Freefall (4:25)
John The Revelator (Tiefschwarz Dub) (6:48)
The Hammer Of Thor (5:52)
Beetles And Spider (Roman Flügel Remix) (3:40)",
112306,Fabric 30,Rub N Tug,Electronic,"House, Disco, Techno, Deep House, Electro, Minimal",2006,"Intro (0:15)
7 Deadly Strokes (3:45)
What Else Is There? (The Emperor Machine Vocal Version) (2:08)
Evening Standard (3:52)
Let's Get Busy (5:45)
Turkish Tavern (4:17)
Shemale (Black Strobe Remix) (2:31)
Atto D'Amore (Dub Version) (6:41)
Dragon (Shit Robot 'Fire Breathing' Remix) (5:08)
Lonely Child (Satoshi Tomiie 3D Remix Dub) (5:22)
No Exit (4:35)
Come A Little Closer (4:57)
L'Asteroide (Original Impact Mix) (3:40)
Blackmoon (2:50)
Discopolis (8:27)
Engoli (4:01)
Catch A Moment In Time (Ewan Pearson's Memory Blissed Remix) (5:15)",
26889,Fabric 31,Marco Carola,Electronic,"Techno, Minimal, Tech House",2006,"Io ()
Waj Rebbag (Alfa Romero Mix) ()
Sure Shot ()
You Got Good Ash (Gabriel Ananda Remix) ()
I Am...You! (Someone Else Remix) ()
Nakuta ()
Cilindro ()
Snowman ()
Cretine ()
Acidrop ()
Kicker ()
Onandon ()
Whenever ()
Pecan ()
Change ()
Newbe (Heartthrob’s Are U Gay Remix) ()
Escarabajos ()
Plunder ()",
